,amount,reward_debt,address
97,0,0,0x6a9D7024e201b67a0fB295eaD72BCd5138A9775F
98,0,0,0xf673B164Fd80549EBd3F5ae89C13E3D42e15f894
99,0,-119046530649959,0x3823a62339C5E9A75990EFd1F91CDeFf73bDA609
100,0,0,0x0c1Ea4cE0D062Bef314Fd4C6457a034987479689
101,0,0,0xF2B20085F9D9C62534b73d771bfc515c93F18881
102,0,0,0xf5F5515517904F23F5550df824dcb0631629c89D
103,0,0,0x7f500Fe7A5F44e063Cc7EF16478F1ce7d907D390
104,0,0,0xf71b39c72Ae7bBD8F1c7b781709475F550E38523
105,0,0,0x7b137B888f282156298FF8A1C4236d99FeD65317
106,0,0,0xfC4F47C9490Ed66A978d891355b3831C9F0e5d69
107,0,0,0xBFd081fc8312b9648821eAdAB034Cb960297598B
108,0,0,0x7Cfed2A2d4a98680daC6aA55120f5AF2EC562EbD
109,0,0,0x06E0444De2397806621d0C61846394350436668d
110,0,0,0xBc8819C1821Bc52b5d30D2Dd52F0Cb6110510005
111,0,0,0x48805B820837F9dCa575e92Aa662A1cdF589ee8b
112,0,0,0x9e331AEE9F82b25078f7bB1581fFa8383ad84944
113,189579889122868459146,7662883418533418488009,0x2af3807a8Ec20376ea23b7F003C5B1635AC28ef7
114,0,0,0x039053b4674D12DCDFe69fADC25AFdb0C17360e3
115,0,0,0x984c5d268B220784E87fbe8EDbb5C6b9F7ba9Fc4
116,0,0,0xf32D9CEd4f86431971E3554e4eF8480AE1A6032d
117,0,0,0x977693332216B5F122fb6367E6AF30eBf2eA4b35
118,0,0,0x3c61fEfC6798898B26b038C94d93D3F5d4A30C35
119,0,0,0x2C76f60c1b939cDFCe6cAB6C6324c05BaE067496
120,115607883215024920161,4672532557389782079113,0xdC21C20e2991B87422f3aa7476987A066e05aedC
121,0,0,0x40A8Ef7c16C0B696ec829F070782E472A5C75C8d
122,0,0,0xF6E7b48b7F70433ff03638DB052dF8B5FfeafeB3
123,0,0,0x35cAe85E56F103Ea8b0482118dafDbfbaA82a94D
124,0,0,0x48b0fB715FB032834D1C077C411FfB7Ccc433414
125,0,0,0x9E73A8240F99e1d6572Ecc1FD885F85126E080fc
126,0,0,0xA65e83994BC7dbdf4d29811C741D5BBf4a2FCB2d
127,0,0,0x80001bf57F5078E6F0Cb60144A158c2952F3355c
128,0,-30353946884142521,0x2B19f0599c20389585C34962A4d6E7b126ef3191
129,0,0,0x8773E96432eC90aA918502e47f413cB07572C677
130,0,0,0xc4325ff7fE1d7a65aFac8BEa1E7C3B9b9749E1C6
131,0,0,0xF50f5d10269fc4F1606458BB8b9e88DbBAdB3C6a
132,0,0,0xdA7A1D51a37D65429450BDca07b1174Ee93a6e5b
133,0,0,0x7B814cbf2B849B99Bc5794A7Bb90a27c505Bc9BF
134,0,0,0x11d0D30642021843077909A069C1E6E43EBFC326
135,0,0,0x71fD2e07D2741C5d5B93dD4C20848c92364E6331
136,0,0,0xeffB8099026A17F84852Af6028B8b463d73EF44c
137,0,0,0x66a30586cF3fc3CA12497e5188094199cF3AB153
138,0,0,0x747F297A79A1d132D5675592f38b6013C780BF12
139,0,0,0xB09FE2C8260489d54A5F65ff0Be305fa4864dD0d
140,0,0,0x8C5d499A56910c4126f1Ff1Dc3B677460bDe9FB9
141,0,0,0xD4ae475B7334944f27cdcacD2D2d7E092E03F8D3
142,0,0,0x47AdD99a2817612b992Ac096C37E16412c1b20fF
143,0,0,0x878C433A5e0bF6E9b11a13A448e19956605fA516
144,0,0,0xaD2370161071d95cF1969f699B3Cb66Ab7757099
145,0,0,0xe26c221847f866437f731c64a8f59C225038755E
146,0,0,0xB707bE3Cc6A9599597443c4EB5CC11bD6A5E5087
147,0,0,0xdc46Bb979Bf5102d78ece8e9A91DbAec932e756a
148,0,0,0xC9DF03025488A2fc17074E6b28D664947bFCD9a7
149,0,0,0x71b83F002bDF4e751573E2Be2f7737223701F192
150,0,0,0x649987050915fD1670c9cE9fd6881Fa27A65d706
151,0,0,0x8fB07b21383d331F3752A7590b0cfEAc85514A1F
152,0,0,0xF3a7FfC6D19E95e439ff31E3D9F0Ed1a9AC181dF
153,0,0,0xD2DC28B1A15A7d75957Be771F38aBBc25Ff295Dc
154,0,0,0x181b8E10c8ffE94984964904908C312aB3CF380b
155,0,0,0x407A693FCd1E0f1BF8Ee6325FDB6B0364C35AC4C
156,0,0,0x18b5eEC5368E3E821Ccf0CD81673B3044C111e2C
157,0,0,0x7E9A3418d0cce71bC6F69a43D03eD24b0F098c60
158,0,0,0xbF3Eaa22FDcf5FA3F627960A0366e3F461b7AB2D
159,0,0,0x4BD54191Dde60211e8812514F3bba711Cd53d7c9
160,0,0,0xC7Fca4C86F6cDBb4658437e1F9E7830d5627b96c
161,0,0,0x60E0B872DB59F7c61C6c724DfdE4693997cB323A
162,0,0,0x7762893b6eaC5939EFde814eD67A5C08E2d4B266
163,0,0,0xaE69116E4AA49645f78C1Fc9f28F677aeDE0d153
164,0,0,0x8648A739f2B60545678df7Adf3273452037ef558
165,0,0,0xc4f9130E0F27C0Ca5106B35A447b6fe35ECF7062
166,0,0,0xE2Ad5CE20D27263FF19F891E6C7eE7357DA228E9
167,0,0,0x6B4eB95A374456fB8338B0a684C31Ea21CB8790d
168,0,0,0xE6b06cf6F3a9027abdC1DCd97a2C562856b2EF99
169,0,0,0xe6D6ED9357e777c66feD3F9e9b415813130E63BE
170,0,0,0x60B10140089387643A95c13CA3df8DB86EFF85e1
171,0,0,0x45823b4B4a303435DFD142dabeDC8375b834aD38
172,0,0,0x74f894C70d9D863Ef769bBebe3CE3be43016a04D
173,0,0,0x20A8B1D81195B4d5Ef906c26FC1017364608fA13
174,0,-40521429698837764,0x52d597334A853Cfc0e5aFDE7E813Ae5a7E965176
175,0,0,0xBf2b071A6b207d41495c4a1DC5B051fe1d462fCC
176,0,0,0x50E4d4C9e54092A175E9DA68554A4E25F267EE14
177,1124025904307326370599,45429155219395468657124,0x9e1362aEf06fA5028a9F0FAc61545a563B36864e
178,0,0,0xd5a2ec9468A5dE6e5F3f7D787b53994182775C1b
179,0,0,0xbcb9EBc008bfd024eec383a66a4b63C1dBfE69d2
180,0,0,0xD6eEF3cf97A349960b0C976929BAE90435b2BFb2
